x_fl,y_fl,z_fl,x_fr,y_fr,z_fr,x_rl,y_rl,z_rl,x_rr,y_rr,z_rr
-1002.8530113451054,-1315.0682808060353,4750.051735733959,-1002.8530113451054,-1047.7367592964622,3649.245038391721,-680.8504608962241,-1385.0589806365808,4022.0474000605846,-680.8504608962241,-1053.118594966511,2921.2407027183467
-1003.1707281977443,-1475.0582710795527,4813.642635113598,-1003.1707281977443,-1144.6877803524426,3582.1549497785268,-680.8347059687297,-1584.021633783855,4086.2369320591893,-680.8347059687297,-1163.7894874511517,2854.749246724118
-1005.7602954946267,-1465.6703999016088,4812.41498004902,-1005.7602954946267,-1137.988341890718,3580.888736361977,-682.1229382675986,-1592.6109570725132,4084.597160385113,-682.1229382675986,-1169.4096440651383,2853.0709166980696
-1006.8634234425863,-1467.02159531087,4810.901838125899,-1006.8634234425863,-1138.701329913879,3579.378111985936,-683.0287829785839,-1591.8068448084773,4083.2010030246693,-683.0287829785839,-1168.805328871407,2851.677276884706
-1007.9115274523645,-1467.963219087033,4809.356674060067,-1007.9115274523645,-1138.9396994114377,3577.8330231118,-683.7549908679375,-1591.6745950047348,4081.8392509170453,-683.7549908679375,-1168.8078830075676,2850.315599968778
-1008.9478286106084,-1468.7869975446195,4807.805727002606,-1008.9478286106084,-1139.036562218804,3576.2797130216395,-684.4498359704819,-1591.7293899527194,4080.484273637194,-684.4498359704819,-1168.9692850872402,2848.9582596562273
-1009.629324911042,-1469.5799832778857,4806.225885395685,-1009.629324911042,-1139.0724077617042,3574.741466273724,-685.4649972757373,-1591.7397800685221,4079.1109395165336,-685.4649972757373,-1169.1282910933849,2847.626520394573
-1013.8577740225909,-1303.2402907944752,4744.451091225236,-1013.8577740225909,-1036.418215729424,3634.8707860408604,-688.1450727660012,-1420.9858298833183,4016.0680623081344,-688.1450727660012,-1076.6176667216394,2906.4877571237585
-1020.1368216815498,-953.5015634544895,4608.197155895506,-1020.1368216815498,-802.7543028634326,3770.4214921765697,-692.0935058521933,-1045.8954557099755,3877.6061598600527,-692.0935058521933,-848.7154326678951,3039.830496141117
-1025.6510830289326,-497.4672798935,4417.534334405597,-1025.6510830289326,-453.2299905548113,3960.0602449484118,-695.652376515413,-550.0304758129658,3685.0609548406296,-695.652376515413,-490.71197540913477,3227.586865383444
